plane,angle,orientation,neck_C,head_A
X-Z,12.0,LEFT-UP,173.9668,17.0019
X-Z,12.0,RIGHT-UP,186.0332,342.9981
X-Z,12.5,RIGHT-DOWN,353.7125,17.7131
X-Z,12.5,LEFT-DOWN,6.2875,342.2869
X-Z,12.5,LEFT-UP,173.7125,17.7131
X-Z,12.5,RIGHT-UP,186.2875,342.2869
X-Z,13.0,RIGHT-DOWN,353.4578,18.4246
X-Z,13.0,LEFT-DOWN,6.5422,341.5754
X-Z,13.0,LEFT-UP,173.4578,18.4246
X-Z,13.0,RIGHT-UP,186.5422,341.5754
X-Z,13.5,RIGHT-DOWN,353.2027,19.1366
X-Z,13.5,LEFT-DOWN,6.7973,340.8634
X-Z,13.5,LEFT-UP,173.2027,19.1366
X-Z,13.5,RIGHT-UP,186.7973,340.8634
X-Z,14.0,RIGHT-DOWN,352.9472,19.8489
X-Z,14.0,LEFT-DOWN,7.0528,340.1511
X-Z,14.0,LEFT-UP,172.9472,19.8489
X-Z,14.0,RIGHT-UP,187.0528,340.1511
X-Z,14.5,RIGHT-DOWN,352.6913,20.5616
X-Z,14.5,LEFT-DOWN,7.3087,339.4384
X-Z,14.5,LEFT-UP,172.6913,20.5616
X-Z,14.5,RIGHT-UP,187.3087,339.4384
X-Z,15.0,RIGHT-DOWN,352.4349,21.2747
X-Z,15.0,LEFT-DOWN,7.5651,338.7253
X-Z,15.0,LEFT-UP,172.4349,21.2747
X-Z,15.0,RIGHT-UP,187.5651,338.7253
X-Z,15.5,RIGHT-DOWN,352.1781,21.9882
X-Z,15.5,LEFT-DOWN,7.8219,338.0118
X-Z,15.5,LEFT-UP,172.1781,21.9882
X-Z,15.5,RIGHT-UP,187.8219,338.0118
X-Z,16.0,RIGHT-DOWN,351.9209,22.7022
X-Z,16.0,LEFT-DOWN,8.0791,337.2978
X-Z,16.0,LEFT-UP,171.9209,22.7022
X-Z,16.0,RIGHT-UP,188.0791,337.2978
X-Z,16.5,RIGHT-DOWN,351.6631,23.4166
X-Z,16.5,LEFT-DOWN,8.3369,336.5834
X-Z,16.5,LEFT-UP,171.6631,23.4166
X-Z,16.5,RIGHT-UP,188.3369,336.5834
X-Z,17.0,RIGHT-DOWN,351.4049,24.1315
X-Z,17.0,LEFT-DOWN,8.5951,335.8685
X-Z,17.0,LEFT-UP,171.4049,24.1315
X-Z,17.0,RIGHT-UP,188.5951,335.8685
X-Z,17.5,RIGHT-DOWN,351.1461,24.8469
X-Z,17.5,LEFT-DOWN,8.8539,335.1531
X-Z,17.5,LEFT-UP,171.1461,24.8469
X-Z,17.5,RIGHT-UP,188.8539,335.1531
X-Z,18.0,RIGHT-DOWN,350.8869,25.5628
