plane,angle,orientation,neck_C,head_A
X-Z,61.5,LEFT-DOWN,36.5082,267.3817
X-Z,61.5,LEFT-UP,143.4918,92.6183
X-Z,61.5,RIGHT-UP,216.5082,267.3817
X-Z,62.0,RIGHT-DOWN,323.0684,93.5005
X-Z,62.0,LEFT-DOWN,36.9316,266.4995
X-Z,62.0,LEFT-UP,143.0684,93.5005
X-Z,62.0,RIGHT-UP,216.9316,266.4995
X-Z,62.5,RIGHT-DOWN,322.6404,94.3876
X-Z,62.5,LEFT-DOWN,37.3596,265.6124
X-Z,62.5,LEFT-UP,142.6404,94.3876
X-Z,62.5,RIGHT-UP,217.3596,265.6124
X-Z,63.0,RIGHT-DOWN,322.2077,95.2798
X-Z,63.0,LEFT-DOWN,37.7923,264.7202
X-Z,63.0,LEFT-UP,142.2077,95.2798
X-Z,63.0,RIGHT-UP,217.7923,264.7202
X-Z,63.5,RIGHT-DOWN,321.7701,96.1772
X-Z,63.5,LEFT-DOWN,38.2299,263.8228
X-Z,63.5,LEFT-UP,141.7701,96.1772
X-Z,63.5,RIGHT-UP,218.2299,263.8228
X-Z,64.0,RIGHT-DOWN,321.3274,97.0802
X-Z,64.0,LEFT-DOWN,38.6726,262.9198
X-Z,64.0,LEFT-UP,141.3274,97.0802
X-Z,64.0,RIGHT-UP,218.6726,262.9198
X-Z,64.5,RIGHT-DOWN,320.8795,97.9887
X-Z,64.5,LEFT-DOWN,39.1205,262.0113
X-Z,64.5,LEFT-UP,140.8795,97.9887
X-Z,64.5,RIGHT-UP,219.1205,262.0113
X-Z,65.0,RIGHT-DOWN,320.4263,98.9031
X-Z,65.0,LEFT-DOWN,39.5737,261.0969
X-Z,65.0,LEFT-UP,140.4263,98.9031
X-Z,65.0,RIGHT-UP,219.5737,261.0969
X-Z,65.5,RIGHT-DOWN,319.9675,99.8235
X-Z,65.5,LEFT-DOWN,40.0325,260.1765
X-Z,65.5,LEFT-UP,139.9675,99.8235
X-Z,65.5,RIGHT-UP,220.0325,260.1765
X-Z,66.0,RIGHT-DOWN,319.503,100.7502
X-Z,66.0,LEFT-DOWN,40.497,259.2498
X-Z,66.0,LEFT-UP,139.503,100.7502
X-Z,66.0,RIGHT-UP,220.497,259.2498
X-Z,66.5,RIGHT-DOWN,319.0327,101.6833
X-Z,66.5,LEFT-DOWN,40.9673,258.3167
X-Z,66.5,LEFT-UP,139.0327,101.6833
X-Z,66.5,RIGHT-UP,220.9673,258.3167
X-Z,67.0,RIGHT-DOWN,318.5562,102.6232
X-Z,67.0,LEFT-DOWN,41.4438,257.3768
X-Z,67.0,LEFT-UP,138.5562,102.6232
X-Z,67.0,RIGHT-UP,221.4438,257.3768
X-Z,67.5,RIGHT-DOWN,318.0734,103.57
X-Z,67.5,LEFT-DOWN,41.9266,256.43
X-Z,67.5,LEFT-UP,138.0734,103.57
X-Z,67.5,RIGHT-UP,221.9266,256.43
X-Z,68.0,RIGHT-DOWN,317.584,104.5241
X-Z,68.0,LEFT-DOWN,42.416,255.4759
X-Z,68.0,LEFT-UP,137.584,104.5241
X-Z,68.0,RIGHT-UP,222.416,255.4759
X-Z,68.5,RIGHT-DOWN,317.0879,105.4857
X-Z,68.5,LEFT-DOWN,42.9121,254.5143
X-Z,68.5,LEFT-UP,137.0879,105.4857
X-Z,68.5,RIGHT-UP,222.9121,254.5143
X-Z,69.0,RIGHT-DOWN,316.5847,106.4551
X-Z,69.0,LEFT-DOWN,43.4153,253.5449
X-Z,69.0,LEFT-UP,136.5847,106.4551
X-Z,69.0,RIGHT-UP,223.4153,253.5449
X-Z,69.5,RIGHT-DOWN,316.0743,107.4327
X-Z,69.5,LEFT-DOWN,43.9257,252.5673
X-Z,69.5,LEFT-UP,136.0743,107.4327
X-Z,69.5,RIGHT-UP,223.9257,252.5673
X-Z,70.0,RIGHT-DOWN,315.5563,108.4188
X-Z,70.0,LEFT-DOWN,44.4437,251.5812
X-Z,70.0,LEFT-UP,135.5563,108.4188
X-Z,70.0,RIGHT-UP,224.4437,251.5812
X-Z,70.5,RIGHT-DOWN,315.0305,109.4137
X-Z,70.5,LEFT-DOWN,44.9695,250.5863
X-Z,70.5,LEFT-UP,135.0305,109.4137
X-Z,70.5,RIGHT-UP,224.9695,250.5863
X-Z,71.0,RIGHT-DOWN,314.4965,110.4178
X-Z,71.0,LEFT-DOWN,45.5035,249.5822
X-Z,71.0,LEFT-UP,134.4965,110.4178
X-Z,71.0,RIGHT-UP,225.5035,249.5822
X-Z,71.5,RIGHT-DOWN,313.954,111.4316
X-Z,71.5,LEFT-DOWN,46.046,248.5684
X-Z,71.5,LEFT-UP,133.954,111.4316
X-Z,71.5,RIGHT-UP,226.046,248.5684
X-Z,72.0,RIGHT-DOWN,313.4027,112.4555
X-Z,72.0,LEFT-DOWN,46.5973,247.5445
X-Z,72.0,LEFT-UP,133.4027,112.4555
X-Z,72.0,RIGHT-UP,226.5973,247.5445
X-Z,72.5,RIGHT-DOWN,312.8421,113.49
X-Z,72.5,LEFT-DOWN,47.1579,246.51
X-Z,72.5,LEFT-UP,132.8421,113.49
X-Z,72.5,RIGHT-UP,227.1579,246.51
X-Z,73.0,RIGHT-DOWN,312.2719,114.5355
X-Z,73.0,LEFT-DOWN,47.7281,245.4645
X-Z,73.0,LEFT-UP,132.2719,114.5355
X-Z,73.0,RIGHT-UP,227.7281,245.4645
X-Z,73.5,RIGHT-DOWN,311.6916,115.5926
X-Z,73.5,LEFT-DOWN,48.3084,244.4074
X-Z,73.5,LEFT-UP,131.6916,115.5926
X-Z,73.5,RIGHT-UP,228.3084,244.4074
X-Z,74.0,RIGHT-DOWN,311.1008,116.6619
X-Z,74.0,LEFT-DOWN,48.8992,243.3381
X-Z,74.0,LEFT-UP,131.1008,116.6619
X-Z,74.0,RIGHT-UP,228.8992,243.3381
X-Z,74.5,RIGHT-DOWN,310.499,117.7441
X-Z,74.5,LEFT-DOWN,49.501,242.2559
X-Z,74.5,LEFT-UP,130.499,117.7441
X-Z,74.5,RIGHT-UP,229.501,242.2559
X-Z,75.0,RIGHT-DOWN,309.8855,118.8398
X-Z,75.0,LEFT-DOWN,50.1145,241.1602
X-Z,75.0,LEFT-UP,129.8855,118.8398
X-Z,75.0,RIGHT-UP,230.1145,241.1602
X-Z,75.5,RIGHT-DOWN,309.26,119.9497
X-Z,75.5,LEFT-DOWN,50.74,240.0503
X-Z,75.5,LEFT-UP,129.26,119.9497
X-Z,75.5,RIGHT-UP,230.74,240.0503
X-Z,76.0,RIGHT-DOWN,308.6216,121.0748
X-Z,76.0,LEFT-DOWN,51.3784,238.9252
X-Z,76.0,LEFT-UP,128.6216,121.0748
X-Z,76.0,RIGHT-UP,231.3784,238.9252
X-Z,76.5,RIGHT-DOWN,307.9697,122.2158
X-Z,76.5,LEFT-DOWN,52.0303,237.7842
X-Z,76.5,LEFT-UP,127.9697,122.2158
X-Z,76.5,RIGHT-UP,232.0303,237.7842
X-Z,77.0,RIGHT-DOWN,307.3036,123.3737
X-Z,77.0,LEFT-DOWN,52.6964,236.6263
X-Z,77.0,LEFT-UP,127.3036,123.3737
X-Z,77.0,RIGHT-UP,232.6964,236.6263
X-Z,77.5,RIGHT-DOWN,306.6223,124.5497
X-Z,77.5,LEFT-DOWN,53.3777,235.4503
X-Z,77.5,LEFT-UP,126.6223,124.5497
X-Z,77.5,RIGHT-UP,233.3777,235.4503
X-Z,78.0,RIGHT-DOWN,305.9252,125.7448
X-Z,78.0,LEFT-DOWN,54.0748,234.2552
X-Z,78.0,LEFT-UP,125.9252,125.7448
X-Z,78.0,RIGHT-UP,234.0748,234.2552
X-Z,78.5,RIGHT-DOWN,305.211,126.9605
X-Z,78.5,LEFT-DOWN,54.789,233.0395
X-Z,78.5,LEFT-UP,125.211,126.9605
X-Z,78.5,RIGHT-UP,234.789,233.0395
X-Z,79.0,RIGHT-DOWN,304.4787,128.1981
X-Z,79.0,LEFT-DOWN,55.5213,231.8019
X-Z,79.0,LEFT-UP,124.4787,128.1981
X-Z,79.0,RIGHT-UP,235.5213,231.8019
X-Z,79.5,RIGHT-DOWN,303.7271,129.4592
X-Z,79.5,LEFT-DOWN,56.2729,230.5408
X-Z,79.5,LEFT-UP,123.7271,129.4592
X-Z,79.5,RIGHT-UP,236.2729,230.5408
X-Z,80.0,RIGHT-DOWN,302.9548,130.7458
X-Z,80.0,LEFT-DOWN,57.0452,229.2542
X-Z,80.0,LEFT-UP,122.9548,130.7458
X-Z,80.0,RIGHT-UP,237.0452,229.2542
X-Z,80.5,RIGHT-DOWN,302.1603,132.0597
X-Z,80.5,LEFT-DOWN,57.8397,227.9403
X-Z,80.5,LEFT-UP,122.1603,132.0597
X-Z,80.5,RIGHT-UP,237.8397,227.9403
X-Z,81.0,RIGHT-DOWN,301.3417,133.4034
X-Z,81.0,LEFT-DOWN,58.6583,226.5966
X-Z,81.0,LEFT-UP,121.3417,133.4034
X-Z,81.0,RIGHT-UP,238.6583,226.5966
X-Z,81.5,RIGHT-DOWN,300.4971,134.7796
X-Z,81.5,LEFT-DOWN,59.5029,225.2204
X-Z,81.5,LEFT-UP,120.4971,134.7796
X-Z,81.5,RIGHT-UP,239.5029,225.2204
X-Z,82.0,RIGHT-DOWN,299.6241,136.1912
X-Z,82.0,LEFT-DOWN,60.3759,223.8088
X-Z,82.0,LEFT-UP,119.6241,136.1912
X-Z,82.0,RIGHT-UP,240.3759,223.8088
X-Z,82.5,RIGHT-DOWN,298.7202,137.6418
X-Z,82.5,LEFT-DOWN,61.2798,222.3582
X-Z,82.5,LEFT-UP,118.7202,137.6418
X-Z,82.5,RIGHT-UP,241.2798,222.3582
X-Z,83.0,RIGHT-DOWN,297.7823,139.1357
X-Z,83.0,LEFT-DOWN,62.2177,220.8643
X-Z,83.0,LEFT-UP,117.7823,139.1357
X-Z,83.0,RIGHT-UP,242.2177,220.8643
X-Z,83.5,RIGHT-DOWN,296.8066,140.6777
X-Z,83.5,LEFT-DOWN,63.1934,219.3223
X-Z,83.5,LEFT-UP,116.8066,140.6777
X-Z,83.5,RIGHT-UP,243.1934,219.3223
X-Z,84.0,RIGHT-DOWN,295.7888,142.2737
X-Z,84.0,LEFT-DOWN,64.2112,217.7263
X-Z,84.0,LEFT-UP,115.7888,142.2737
X-Z,84.0,RIGHT-UP,244.2112,217.7263
X-Z,84.5,RIGHT-DOWN,294.7236,143.931
X-Z,84.5,LEFT-DOWN,65.2764,216.069
X-Z,84.5,LEFT-UP,114.7236,143.931
X-Z,84.5,RIGHT-UP,245.2764,216.069
X-Z,85.0,RIGHT-DOWN,293.6045,145.6584
X-Z,85.0,LEFT-DOWN,66.3955,214.3416
X-Z,85.0,LEFT-UP,113.6045,145.6584
X-Z,85.0,RIGHT-UP,246.3955,214.3416
X-Z,85.5,RIGHT-DOWN,292.4234,147.467
X-Z,85.5,LEFT-DOWN,67.5766,212.533
X-Z,85.5,LEFT-UP,112.4234,147.467
X-Z,85.5,RIGHT-UP,247.5766,212.533
X-Z,86.0,RIGHT-DOWN,291.1697,149.3713
X-Z,86.0,LEFT-DOWN,68.8303,210.6287
X-Z,86.0,LEFT-UP,111.1697,149.3713
X-Z,86.0,RIGHT-UP,248.8303,210.6287
X-Z,86.5,RIGHT-DOWN,289.8295,151.3904
X-Z,86.5,LEFT-DOWN,70.1705,208.6096
X-Z,86.5,LEFT-UP,109.8295,151.3904
X-Z,86.5,RIGHT-UP,250.1705,208.6096
X-Z,87.0,RIGHT-DOWN,288.3839,153.5506
X-Z,87.0,LEFT-DOWN,71.6161,206.4494
X-Z,87.0,LEFT-UP,108.3839,153.5506
X-Z,87.0,RIGHT-UP,251.6161,206.4494
X-Z,87.5,RIGHT-DOWN,286.8055,155.8898
X-Z,87.5,LEFT-DOWN,73.1945,204.1102
X-Z,87.5,LEFT-UP,106.8055,155.8898
X-Z,87.5,RIGHT-UP,253.1945,204.1102
X-Z,88.0,RIGHT-DOWN,285.0524,158.4662
X-Z,88.0,LEFT-DOWN,74.9476,201.5338
X-Z,88.0,LEFT-UP,105.0524,158.4662
X-Z,88.0,RIGHT-UP,254.9476,201.5338
X-Z,88.5,RIGHT-DOWN,283.0542,161.378
X-Z,88.5,LEFT-DOWN,76.9458,198.622
X-Z,88.5,LEFT-UP,103.0542,161.378
X-Z,88.5,RIGHT-UP,256.9458,198.622
X-Z,89.0,RIGHT-DOWN,280.6739,164.8172
X-Z,89.0,LEFT-DOWN,79.3261,195.1828
X-Z,89.0,LEFT-UP,100.6739,164.8172
X-Z,89.0,RIGHT-UP,259.3261,195.1828
X-Z,89.5,RIGHT-DOWN,277.5584,169.2797
X-Z,89.5,LEFT-DOWN,82.4416,190.7203
X-Z,89.5,LEFT-UP,97.5584,169.2797
X-Z,89.5,RIGHT-UP,262.4416,190.7203
X-Z,90.0,RIGHT-DOWN,270.0,180.0
X-Z,90.0,LEFT-DOWN,90.0,180.0
X-Z,90.0,LEFT-UP,90.0,180.0
X-Z,90.0,RIGHT-UP,270.0,180.0
Y-Z,0.0,LEFT-DOWN,0.0,0.0
Y-Z,0.0,RIGHT-DOWN,0.0,0.0
Y-Z,0.0,RIGHT-UP,180.0,0.0
Y-Z,0.0,LEFT-UP,180.0,0.0
Y-Z,0.5,LEFT-DOWN,89.75,0.7071
Y-Z,0.5,RIGHT-DOWN,270.25,359.2929
Y-Z,0.5,RIGHT-UP,269.75,0.7071
Y-Z,0.5,LEFT-UP,90.25,359.2929
Y-Z,1.0,LEFT-DOWN,89.5,1.4142
Y-Z,1.0,RIGHT-DOWN,270.5,358.5858
Y-Z,1.0,RIGHT-UP,269.5,1.4142
Y-Z,1.0,LEFT-UP,90.5,358.5858
Y-Z,1.5,LEFT-DOWN,89.2499,2.1214
Y-Z,1.5,RIGHT-DOWN,270.7501,357.8786
Y-Z,1.5,RIGHT-UP,269.2499,2.1214
Y-Z,1.5,LEFT-UP,90.7501,357.8786
Y-Z,2.0,LEFT-DOWN,88.9998,2.8286
Y-Z,2.0,RIGHT-DOWN,271.0002,357.1714
Y-Z,2.0,RIGHT-UP,268.9998,2.8286
Y-Z,2.0,LEFT-UP,91.0002,357.1714
Y-Z,2.5,LEFT-DOWN,88.7497,3.5358
Y-Z,2.5,RIGHT-DOWN,271.2503,356.4642
Y-Z,2.5,RIGHT-UP,268.7497,3.5358
Y-Z,2.5,LEFT-UP,91.2503,356.4642
Y-Z,3.0,LEFT-DOWN,88.4995,4.2431
Y-Z,3.0,RIGHT-DOWN,271.5005,355.7569
Y-Z,3.0,RIGHT-UP,268.4995,4.2431
Y-Z,3.0,LEFT-UP,91.5005,355.7569
Y-Z,3.5,LEFT-DOWN,88.2492,4.9505
Y-Z,3.5,RIGHT-DOWN,271.7508,355.0495
Y-Z,3.5,RIGHT-UP,268.2492,4.9505
Y-Z,3.5,LEFT-UP,91.7508,355.0495
Y-Z,4.0,LEFT-DOWN,87.9988,5.658
Y-Z,4.0,RIGHT-DOWN,272.0012,354.342
Y-Z,4.0,RIGHT-UP,267.9988,5.658
Y-Z,4.0,LEFT-UP,92.0012,354.342
Y-Z,4.5,LEFT-DOWN,87.7483,6.3656
Y-Z,4.5,RIGHT-DOWN,272.2517,353.6344
Y-Z,4.5,RIGHT-UP,267.7483,6.3656
Y-Z,4.5,LEFT-UP,92.2517,353.6344
Y-Z,5.0,LEFT-DOWN,87.4976,7.0733
Y-Z,5.0,RIGHT-DOWN,272.5024,352.9267
Y-Z,5.0,RIGHT-UP,267.4976,7.0733
Y-Z,5.0,LEFT-UP,92.5024,352.9267
Y-Z,5.5,LEFT-DOWN,87.2468,7.7812
Y-Z,5.5,RIGHT-DOWN,272.7532,352.2188
Y-Z,5.5,RIGHT-UP,267.2468,7.7812
Y-Z,5.5,LEFT-UP,92.7532,352.2188
Y-Z,6.0,LEFT-DOWN,86.9959,8.4892
Y-Z,6.0,RIGHT-DOWN,273.0041,351.5108
Y-Z,6.0,RIGHT-UP,266.9959,8.4892
Y-Z,6.0,LEFT-UP,93.0041,351.5108
Y-Z,6.5,LEFT-DOWN,86.7448,9.1973
Y-Z,6.5,RIGHT-DOWN,273.2552,350.8027
Y-Z,6.5,RIGHT-UP,266.7448,9.1973
Y-Z,6.5,LEFT-UP,93.2552,350.8027
Y-Z,7.0,LEFT-DOWN,86.4935,9.9057
Y-Z,7.0,RIGHT-DOWN,273.5065,350.0943
Y-Z,7.0,RIGHT-UP,266.4935,9.9057
Y-Z,7.0,LEFT-UP,93.5065,350.0943
Y-Z,7.5,LEFT-DOWN,86.2419,10.6142
Y-Z,7.5,RIGHT-DOWN,273.7581,349.3858
Y-Z,7.5,RIGHT-UP,266.2419,10.6142
Y-Z,7.5,LEFT-UP,93.7581,349.3858
Y-Z,8.0,LEFT-DOWN,85.9902,11.3229
Y-Z,8.0,RIGHT-DOWN,274.0098,348.6771
Y-Z,8.0,RIGHT-UP,265.9902,11.3229
Y-Z,8.0,LEFT-UP,94.0098,348.6771
Y-Z,8.5,LEFT-DOWN,85.7383,12.0319
Y-Z,8.5,RIGHT-DOWN,274.2617,347.9681
Y-Z,8.5,RIGHT-UP,265.7383,12.0319
Y-Z,8.5,LEFT-UP,94.2617,347.9681
Y-Z,9.0,LEFT-DOWN,85.4861,12.7411
Y-Z,9.0,RIGHT-DOWN,274.5139,347.2589
Y-Z,9.0,RIGHT-UP,265.4861,12.7411
Y-Z,9.0,LEFT-UP,94.5139,347.2589
Y-Z,9.5,LEFT-DOWN,85.2336,13.4505
Y-Z,9.5,RIGHT-DOWN,274.7664,346.5495
Y-Z,9.5,RIGHT-UP,265.2336,13.4505
Y-Z,9.5,LEFT-UP,94.7664,346.5495
Y-Z,10.0,LEFT-DOWN,84.9809,14.1602
Y-Z,10.0,RIGHT-DOWN,275.0191,345.8398
Y-Z,10.0,RIGHT-UP,264.9809,14.1602
Y-Z,10.0,LEFT-UP,95.0191,345.8398
Y-Z,10.5,LEFT-DOWN,84.7278,14.8702
Y-Z,10.5,RIGHT-DOWN,275.2722,345.1298
Y-Z,10.5,RIGHT-UP,264.7278,14.8702
Y-Z,10.5,LEFT-UP,95.2722,345.1298
Y-Z,11.0,LEFT-DOWN,84.4745,15.5804
Y-Z,11.0,RIGHT-DOWN,275.5255,344.4196
Y-Z,11.0,RIGHT-UP,264.4745,15.5804
Y-Z,11.0,LEFT-UP,95.5255,344.4196
Y-Z,11.5,LEFT-DOWN,84.2208,16.291
Y-Z,11.5,RIGHT-DOWN,275.7792,343.709
Y-Z,11.5,RIGHT-UP,264.2208,16.291
Y-Z,11.5,LEFT-UP,95.7792,343.709
Y-Z,12.0,LEFT-DOWN,83.9668,17.0019
Y-Z,12.0,RIGHT-DOWN,276.0332,342.9981
Y-Z,12.0,RIGHT-UP,263.9668,17.0019
Y-Z,12.0,LEFT-UP,96.0332,342.9981
Y-Z,12.5,LEFT-DOWN,83.7125,17.7131
Y-Z,12.5,RIGHT-DOWN,276.2875,342.2869
Y-Z,12.5,RIGHT-UP,263.7125,17.7131
Y-Z,12.5,LEFT-UP,96.2875,342.2869
Y-Z,13.0,LEFT-DOWN,83.4578,18.4246
Y-Z,13.0,RIGHT-DOWN,276.5422,341.5754
Y-Z,13.0,RIGHT-UP,263.4578,18.4246
Y-Z,13.0,LEFT-UP,96.5422,341.5754
Y-Z,13.5,LEFT-DOWN,83.2027,19.1366
Y-Z,13.5,RIGHT-DOWN,276.7973,340.8634
Y-Z,13.5,RIGHT-UP,263.2027,19.1366
Y-Z,13.5,LEFT-UP,96.7973,340.8634
Y-Z,14.0,LEFT-DOWN,82.9472,19.8489
Y-Z,14.0,RIGHT-DOWN,277.0528,340.1511
Y-Z,14.0,RIGHT-UP,262.9472,19.8489
Y-Z,14.0,LEFT-UP,97.0528,340.1511
Y-Z,14.5,LEFT-DOWN,82.6913,20.5616
Y-Z,14.5,RIGHT-DOWN,277.3087,339.4384
Y-Z,14.5,RIGHT-UP,262.6913,20.5616
Y-Z,14.5,LEFT-UP,97.3087,339.4384
Y-Z,15.0,LEFT-DOWN,82.4349,21.2747
Y-Z,15.0,RIGHT-DOWN,277.5651,338.7253
Y-Z,15.0,RIGHT-UP,262.4349,21.2747
Y-Z,15.0,LEFT-UP,97.5651,338.7253
Y-Z,15.5,LEFT-DOWN,82.1781,21.9882
Y-Z,15.5,RIGHT-DOWN,277.8219,338.0118
Y-Z,15.5,RIGHT-UP,262.1781,21.9882
Y-Z,15.5,LEFT-UP,97.8219,338.0118
Y-Z,16.0,LEFT-DOWN,81.9209,22.7022
Y-Z,16.0,RIGHT-DOWN,278.0791,337.2978
Y-Z,16.0,RIGHT-UP,261.9209,22.7022
Y-Z,16.0,LEFT-UP,98.0791,337.2978
Y-Z,16.5,LEFT-DOWN,81.6631,23.4166
Y-Z,16.5,RIGHT-DOWN,278.3369,336.5834
Y-Z,16.5,RIGHT-UP,261.6631,23.4166
Y-Z,16.5,LEFT-UP,98.3369,336.5834
Y-Z,17.0,LEFT-DOWN,81.4049,24.1315
Y-Z,17.0,RIGHT-DOWN,278.5951,335.8685
Y-Z,17.0,RIGHT-UP,261.4049,24.1315
Y-Z,17.0,LEFT-UP,98.5951,335.8685
Y-Z,17.5,LEFT-DOWN,81.1461,24.8469
Y-Z,17.5,RIGHT-DOWN,278.8539,335.1531
Y-Z,17.5,RIGHT-UP,261.1461,24.8469
Y-Z,17.5,LEFT-UP,98.8539,335.1531
Y-Z,18.0,LEFT-DOWN,80.8869,25.5628
Y-Z,18.0,RIGHT-DOWN,279.1131,334.4372
Y-Z,18.0,RIGHT-UP,260.8869,25.5628
Y-Z,18.0,LEFT-UP,99.1131,334.4372
Y-Z,18.5,LEFT-DOWN,80.627,26.2792
Y-Z,18.5,RIGHT-DOWN,279.373,333.7208
Y-Z,18.5,RIGHT-UP,260.627,26.2792
Y-Z,18.5,LEFT-UP,99.373,333.7208
Y-Z,19.0,LEFT-DOWN,80.3667,26.9961
Y-Z,19.0,RIGHT-DOWN,279.6333,333.0039
Y-Z,19.0,RIGHT-UP,260.3667,26.9961
Y-Z,19.0,LEFT-UP,99.6333,333.0039
Y-Z,19.5,LEFT-DOWN,80.1057,27.7136
Y-Z,19.5,RIGHT-DOWN,279.8943,332.2864
Y-Z,19.5,RIGHT-UP,260.1057,27.7136
Y-Z,19.5,LEFT-UP,99.8943,332.2864
Y-Z,20.0,LEFT-DOWN,79.8441,28.4317
Y-Z,20.0,RIGHT-DOWN,280.1559,331.5683
Y-Z,20.0,RIGHT-UP,259.8441,28.4317
Y-Z,20.0,LEFT-UP,100.1559,331.5683
Y-Z,20.5,LEFT-DOWN,79.5819,29.1504
Y-Z,20.5,RIGHT-DOWN,280.4181,330.8496
Y-Z,20.5,RIGHT-UP,259.5819,29.1504
Y-Z,20.5,LEFT-UP,100.4181,330.8496
Y-Z,21.0,LEFT-DOWN,79.3191,29.8696
Y-Z,21.0,RIGHT-DOWN,280.6809,330.1304
Y-Z,21.0,RIGHT-UP,259.3191,29.8696
Y-Z,21.0,LEFT-UP,100.6809,330.1304
Y-Z,21.5,LEFT-DOWN,79.0556,30.5895
Y-Z,21.5,RIGHT-DOWN,280.9444,329.4105
Y-Z,21.5,RIGHT-UP,259.0556,30.5895
Y-Z,21.5,LEFT-UP,100.9444,329.4105
Y-Z,22.0,LEFT-DOWN,78.7915,31.31
Y-Z,22.0,RIGHT-DOWN,281.2085,328.69
Y-Z,22.0,RIGHT-UP,258.7915,31.31
Y-Z,22.0,LEFT-UP,101.2085,328.69
Y-Z,22.5,LEFT-DOWN,78.5266,32.0312
Y-Z,22.5,RIGHT-DOWN,281.4734,327.9688
Y-Z,22.5,RIGHT-UP,258.5266,32.0312
Y-Z,22.5,LEFT-UP,101.4734,327.9688
Y-Z,23.0,LEFT-DOWN,78.2611,32.7531
Y-Z,23.0,RIGHT-DOWN,281.7389,327.2469
Y-Z,23.0,RIGHT-UP,258.2611,32.7531
Y-Z,23.0,LEFT-UP,101.7389,327.2469
Y-Z,23.5,LEFT-DOWN,77.9948,33.4757
Y-Z,23.5,RIGHT-DOWN,282.0052,326.5243
Y-Z,23.5,RIGHT-UP,257.9948,33.4757
Y-Z,23.5,LEFT-UP,102.0052,326.5243
Y-Z,24.0,LEFT-DOWN,77.7278,34.1989
Y-Z,24.0,RIGHT-DOWN,282.2722,325.8011
Y-Z,24.0,RIGHT-UP,257.7278,34.1989
Y-Z,24.0,LEFT-UP,102.2722,325.8011
Y-Z,24.5,LEFT-DOWN,77.46,34.923
Y-Z,24.5,RIGHT-DOWN,282.54,325.077
Y-Z,24.5,RIGHT-UP,257.46,34.923
Y-Z,24.5,LEFT-UP,102.54,325.077
Y-Z,25.0,LEFT-DOWN,77.1914,35.6477
Y-Z,25.0,RIGHT-DOWN,282.8086,324.3523
Y-Z,25.0,RIGHT-UP,257.1914,35.6477
Y-Z,25.0,LEFT-UP,102.8086,324.3523
Y-Z,25.5,LEFT-DOWN,76.922,36.3733
Y-Z,25.5,RIGHT-DOWN,283.078,323.6267
Y-Z,25.5,RIGHT-UP,256.922,36.3733
Y-Z,25.5,LEFT-UP,103.078,323.6267
Y-Z,26.0,LEFT-DOWN,76.6518,37.0996
Y-Z,26.0,RIGHT-DOWN,283.3482,322.9004
Y-Z,26.0,RIGHT-UP,256.6518,37.0996
Y-Z,26.0,LEFT-UP,103.3482,322.9004
Y-Z,26.5,LEFT-DOWN,76.3807,37.8268
Y-Z,26.5,RIGHT-DOWN,283.6193,322.1732
Y-Z,26.5,RIGHT-UP,256.3807,37.8268
Y-Z,26.5,LEFT-UP,103.6193,322.1732
Y-Z,27.0,LEFT-DOWN,76.1088,38.5547
Y-Z,27.0,RIGHT-DOWN,283.8912,321.4453
Y-Z,27.0,RIGHT-UP,256.1088,38.5547
Y-Z,27.0,LEFT-UP,103.8912,321.4453
Y-Z,27.5,LEFT-DOWN,75.836,39.2836
Y-Z,27.5,RIGHT-DOWN,284.164,320.7164
Y-Z,27.5,RIGHT-UP,255.836,39.2836
Y-Z,27.5,LEFT-UP,104.164,320.7164
Y-Z,28.0,LEFT-DOWN,75.5622,40.0133
Y-Z,28.0,RIGHT-DOWN,284.4378,319.9867
Y-Z,28.0,RIGHT-UP,255.5622,40.0133
Y-Z,28.0,LEFT-UP,104.4378,319.9867
Y-Z,28.5,LEFT-DOWN,75.2876,40.7439
Y-Z,28.5,RIGHT-DOWN,284.7124,319.2561
Y-Z,28.5,RIGHT-UP,255.2876,40.7439
Y-Z,28.5,LEFT-UP,104.7124,319.2561
Y-Z,29.0,LEFT-DOWN,75.0119,41.4755
Y-Z,29.0,RIGHT-DOWN,284.9881,318.5245
Y-Z,29.0,RIGHT-UP,255.0119,41.4755
Y-Z,29.0,LEFT-UP,104.9881,318.5245
Y-Z,29.5,LEFT-DOWN,74.7353,42.2079
Y-Z,29.5,RIGHT-DOWN,285.2647,317.7921
Y-Z,29.5,RIGHT-UP,254.7353,42.2079
Y-Z,29.5,LEFT-UP,105.2647,317.7921
Y-Z,30.0,LEFT-DOWN,74.4577,42.9414
Y-Z,30.0,RIGHT-DOWN,285.5423,317.0586
Y-Z,30.0,RIGHT-UP,254.4577,42.9414
Y-Z,30.0,LEFT-UP,105.5423,317.0586
Y-Z,30.5,LEFT-DOWN,74.1791,43.6758
Y-Z,30.5,RIGHT-DOWN,285.8209,316.3242
Y-Z,30.5,RIGHT-UP,254.1791,43.6758
Y-Z,30.5,LEFT-UP,105.8209,316.3242
Y-Z,31.0,LEFT-DOWN,73.8994,44.4113
Y-Z,31.0,RIGHT-DOWN,286.1006,315.5887
Y-Z,31.0,RIGHT-UP,253.8994,44.4113
Y-Z,31.0,LEFT-UP,106.1006,315.5887
Y-Z,31.5,LEFT-DOWN,73.6187,45.1478
Y-Z,31.5,RIGHT-DOWN,286.3813,314.8522
